epoch     	mean_ops    	median_ops  	unique_ids  	modal_id  	representative_tape (modal_count)
980       	16.6131     	13.0        	62215       	3957573   	|                                                                | (25219)
990       	16.6043     	13.0        	60989       	3957573   	|                                                                | (26015)
1000      	16.5259     	13.0        	59813       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26394)
1010      	16.5104     	13.0        	58689       	3957573   	|----------------------------------------------,,,,,,,,,,,,,,,   | (26795)
1020      	16.4605     	12.0        	57630       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (27930)
1030      	16.4021     	12.0        	56510       	3957573   	|                                                                | (26550)
1040      	16.2961     	12.0        	55419       	3957573   	|,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26889)
1050      	16.2004     	12.0        	54374       	3957573   	|+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26417)
1060      	16.2122     	12.0        	53386       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (25679)
1070      	16.1486     	12.0        	52391       	3957573   	|                                                                | (26226)
1080      	16.1499     	12.0        	51398       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-+,,,,,,,,,,-,, ,,,,,,,,| (26020)
1090      	16.1461     	12.0        	50583       	3957573   	|                                                            -, ,| (27108)
1100      	16.1166     	12.0        	49667       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26808)
1110      	16.0568     	12.0        	48823       	3957573   	|                                                                | (26194)
1120      	16.0297     	12.0        	47963       	3957573   	|                                                                | (26306)
1130      	16.0141     	12.0        	47160       	3957573   	|                                                                | (26583)
1140      	15.9376     	12.0        	46387       	3957573   	|                                             ] [                | (25819)
1150      	15.9522     	12.0        	45599       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26393)
1160      	15.9351     	12.0        	44805       	3957573   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26082)
1170      	15.9474     	12.0        	44085       	3957573   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (25938)
1180      	15.8899     	12.0        	43424       	3683542   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26454)
1190      	15.8299     	12.0        	42771       	3683542   	|.,, ,,.,,..................-....................................| (26435)
1200      	15.8158     	12.0        	42081       	3683542   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (26624)
1210      	15.8599     	12.0        	41458       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (27324)
1220      	15.9223     	12.0        	40809       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (27387)
1230      	15.9100     	12.0        	40238       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (27630)
1240      	15.9150     	12.0        	39646       	4874788   	|                                                                | (27871)
1250      	15.8841     	12.0        	39023       	4874788   	|                    <                                           | (28373)
1260      	15.8601     	12.0        	38437       	4874788   	|                    <                                           | (29636)
1270      	15.8537     	12.0        	37882       	4874788   	|                                          .             .       | (29596)
1280      	15.8151     	12.0        	37304       	4874788   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (29281)
1290      	15.7827     	12.0        	36742       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (29078)
1300      	15.8077     	12.0        	36235       	4874788   	|                                                                | (30151)
1310      	15.8041     	12.0        	35703       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (30333)
1320      	15.7698     	12.0        	35234       	4874788   	|                                                                | (29905)
1330      	15.7675     	12.0        	34713       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (31584)
1340      	15.7644     	12.0        	34251       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (30704)
1350      	15.7298     	12.0        	33798       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                  | (30865)
1360      	15.7020     	12.0        	33347       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (30959)
1370      	15.7313     	12.0        	32939       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (31777)
1380      	15.7761     	12.0        	32511       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (32321)
1390      	15.7516     	12.0        	32083       	4874788   	|                                                                | (32836)
1400      	15.7414     	12.0        	31703       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-| (32892)
1410      	15.7600     	12.0        	31297       	4874788   	|-,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-| (33582)
1420      	15.7229     	12.0        	30897       	4874788   	|                                                                | (33440)
1430      	15.7312     	12.0        	30477       	4874788   	|                                                                | (33540)
1440      	15.7063     	12.0        	30121       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                          | (34502)
1450      	15.6721     	12.0        	29767       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               | (34667)
1460      	15.6137     	12.0        	29372       	4874788   	|                                                                | (34804)
1470      	15.6043     	12.0        	29054       	4874788   	|                                                                | (35196)
1480      	15.5717     	12.0        	28712       	4874788   	|                                                                | (34306)
1490      	15.5582     	12.0        	28342       	4874788   	|,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (34959)
1500      	15.5614     	12.0        	28058       	4874788   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (34669)
1510      	15.5512     	12.0        	27722       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (34313)
1520      	15.5227     	12.0        	27393       	4874788   	|                                                               >| (34760)
1530      	15.5375     	12.0        	27085       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (34485)
1540      	15.4969     	12.0        	26735       	4874788   	|<<<<<<<<<< <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (34281)
1550      	15.5178     	12.0        	26419       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (33746)
1560      	15.5256     	12.0        	26108       	4874788   	|,,,,,,,,,,,,-,,,-,,,-,,,,,,,-,,,-,,                             | (33587)
